rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
6795	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)	1346746	2	2	2	0	1	0	1	0	0	0	0.521	0.458	0.384	0.539	0.788	0.776	1.000
6796	PYGB	phosphorylase, glycogen; brain	732538	2	2	2	0	1	0	0	1	0	0	0.419	0.529	0.742	0.624	0.979	0.776	1.000
6797	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	1303874	1	1	1	0	0	0	0	0	1	0	0.776	0.538	NaN	NaN	NaN	0.776	1.000
6798	KIAA1614	KIAA1614	929231	1	1	1	1	1	0	0	0	0	0	0.777	0.881	NaN	NaN	NaN	0.777	1.000
6799	ABLIM3	actin binding LIM protein family, member 3	606721	4	4	4	2	1	0	1	1	1	0	0.412	0.908	0.722	0.719	1.000	0.777	1.000
6800	NLRP8	NLR family, pyrin domain containing 8	901911	2	2	2	1	2	0	0	0	0	0	0.414	0.699	0.663	0.647	1.000	0.779	1.000
6801	CC2D2A	coiled-coil and C2 domain containing 2A	1125953	1	1	1	0	0	1	0	0	0	0	0.779	0.708	NaN	NaN	NaN	0.779	1.000
6802	COL5A2	collagen, type V, alpha 2	1286939	2	2	2	0	0	1	0	0	1	0	0.414	0.851	0.301	0.758	1.000	0.779	1.000
6803	NES	nestin	1268093	1	1	1	0	0	0	0	1	0	0	0.779	0.825	NaN	NaN	NaN	0.779	1.000
6804	CIC	capicua homolog (Drosophila)	1274323	1	1	1	0	0	0	0	0	1	0	0.780	1.000	NaN	NaN	NaN	0.780	1.000
6805	COL17A1	collagen, type XVII, alpha 1	1238677	3	3	3	2	2	0	0	1	0	0	0.704	0.847	0.551	0.299	0.590	0.781	1.000
6806	NRAP	nebulin-related anchoring protein	1509862	1	1	1	0	0	1	0	0	0	0	0.781	0.609	NaN	NaN	NaN	0.781	1.000
6807	CNTN2	contactin 2 (axonal)	907714	2	2	2	0	1	0	0	0	1	0	0.416	0.686	0.794	0.997	1.000	0.781	1.000
6808	SLC12A4	solute carrier family 12 (potassium/chloride transporters), member 4	925932	1	1	1	0	1	0	0	0	0	0	0.781	0.704	NaN	NaN	NaN	0.781	1.000
6809	TRERF1	transcriptional regulating factor 1	1004325	1	1	1	0	1	0	0	0	0	0	0.781	0.625	NaN	NaN	NaN	0.781	1.000
6810	NCOA6	nuclear receptor coactivator 6	1766460	1	1	1	0	0	0	0	1	0	0	0.781	0.816	NaN	NaN	NaN	0.781	1.000
6811	KIF1A	kinesin family member 1A	1211355	1	1	1	1	0	0	0	0	1	0	0.781	0.890	NaN	NaN	NaN	0.781	1.000
6812	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2	1280282	1	1	1	0	0	0	0	1	0	0	0.782	0.840	NaN	NaN	NaN	0.782	1.000
6813	SHROOM4	shroom family member 4	1209329	1	1	1	0	1	0	0	0	0	0	0.782	0.778	NaN	NaN	NaN	0.782	1.000
6814	NID1	nidogen 1	1026492	1	1	1	0	1	0	0	0	0	0	0.782	0.623	NaN	NaN	NaN	0.782	1.000
6815	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	832210	2	2	2	1	2	0	0	0	0	0	0.430	0.786	0.359	0.348	0.972	0.783	1.000
6816	LRRC37A3	leucine rich repeat containing 37, member A3	1068321	2	2	2	0	0	0	0	2	0	0	0.419	0.677	0.957	0.546	1.000	0.783	1.000
6817	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	1244942	1	1	1	0	0	0	0	1	0	0	0.783	0.856	NaN	NaN	NaN	0.783	1.000
6818	WNK4	WNK lysine deficient protein kinase 4	1041015	1	1	1	1	0	0	0	1	0	0	0.784	0.937	NaN	NaN	NaN	0.784	1.000
6819	PLCH2	phospholipase C, eta 2	778020	2	2	2	0	2	0	0	0	0	0	0.449	0.451	0.0243	0.0105	0.938	0.785	1.000
6820	ADAMTSL4	ADAMTS-like 4	937728	1	1	1	1	1	0	0	0	0	0	0.785	0.952	NaN	NaN	NaN	0.785	1.000
6821	TGM5	transglutaminase 5	626816	2	2	2	2	1	1	0	0	0	0	0.421	0.851	1.000	0.858	1.000	0.785	1.000
6822	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	981028	1	1	1	0	1	0	0	0	0	0	0.786	0.658	NaN	NaN	NaN	0.786	1.000
6823	DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	1314947	1	1	1	0	0	1	0	0	0	0	0.786	0.604	NaN	NaN	NaN	0.786	1.000
6824	ZNF423	zinc finger protein 423	1096824	1	1	1	0	0	0	0	1	0	0	0.786	0.857	NaN	NaN	NaN	0.786	1.000
6825	BAHD1	bromo adjacent homology domain containing 1	668453	3	3	3	3	2	0	1	0	0	0	1.000	0.946	0.253	0.519	0.422	0.786	1.000
6826	FRAS1	Fraser syndrome 1	3396244	14	14	14	7	6	2	1	4	1	0	0.974	0.795	0.278	0.666	0.434	0.786	1.000
6827	ZFYVE9	zinc finger, FYVE domain containing 9	1228260	1	1	1	0	0	0	0	1	0	0	0.787	0.849	NaN	NaN	NaN	0.787	1.000
6828	NINL	ninein-like	1191803	1	1	1	0	0	1	0	0	0	0	0.788	0.565	NaN	NaN	NaN	0.788	1.000
6829	INSRR	insulin receptor-related receptor	1096168	2	2	2	1	2	0	0	0	0	0	0.659	0.786	0.971	0.297	0.645	0.789	1.000
6830	KIAA1161	KIAA1161	497729	1	1	1	0	1	0	0	0	0	0	0.789	0.641	NaN	NaN	NaN	0.789	1.000
6831	PLXNA2	plexin A2	1640467	3	3	3	0	0	0	0	2	1	0	0.425	0.361	0.971	0.778	1.000	0.789	1.000
6832	NCOA1	nuclear receptor coactivator 1	1258970	1	1	1	0	1	0	0	0	0	0	0.789	0.692	NaN	NaN	NaN	0.789	1.000
6833	ATP13A1	ATPase type 13A1	798456	2	2	2	1	0	0	0	1	1	0	0.426	0.934	0.458	0.768	1.000	0.789	1.000
6834	BNC2	basonuclin 2	941212	4	4	4	2	4	0	0	0	0	0	0.426	0.749	0.838	0.117	1.000	0.790	1.000
6835	EPHB1	EPH receptor B1	845344	2	2	2	3	0	0	2	0	0	0	1.000	0.991	0.289	0.169	0.427	0.791	1.000
6836	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	1379866	1	1	1	0	0	0	0	1	0	0	0.792	0.835	NaN	NaN	NaN	0.792	1.000
6837	DNMT1	DNA (cytosine-5-)-methyltransferase 1	1396817	1	1	1	1	0	0	0	0	1	0	0.792	0.903	NaN	NaN	NaN	0.792	1.000
6838	MYH7B	myosin, heavy chain 7B, cardiac muscle, beta	1524743	3	3	3	0	1	1	1	0	0	0	0.431	0.296	0.687	0.448	1.000	0.793	1.000
6839	SHH	sonic hedgehog homolog (Drosophila)	266969	2	1	2	0	2	0	0	0	0	0	0.432	0.326	0.0567	0.186	1.000	0.795	1.000
6840	STARD13	StAR-related lipid transfer (START) domain containing 13	990409	2	2	2	1	1	0	0	0	1	0	0.432	0.815	0.785	0.530	1.000	0.795	1.000
6841	KIAA0430	KIAA0430	1510079	1	1	1	1	1	0	0	0	0	0	0.795	0.870	NaN	NaN	NaN	0.795	1.000
6842	KIAA0100	KIAA0100	1929298	1	1	1	0	0	0	1	0	0	0	0.795	0.705	NaN	NaN	NaN	0.795	1.000
6843	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	1339168	1	1	1	1	0	0	1	0	0	0	0.796	0.894	NaN	NaN	NaN	0.796	1.000
6844	ZNF536	zinc finger protein 536	1068210	3	3	3	2	0	0	1	2	0	0	0.433	0.888	0.897	0.758	1.000	0.796	1.000
6845	ECE2	endothelin converting enzyme 2	898841	1	1	1	0	1	0	0	0	0	0	0.796	0.699	NaN	NaN	NaN	0.796	1.000
6846	KANK1	KN motif and ankyrin repeat domains 1	1157798	2	2	2	0	0	0	0	2	0	0	0.434	0.686	0.161	0.441	1.000	0.796	1.000
6847	CUX1	cut-like homeobox 1	1401189	1	1	1	1	0	0	1	0	0	0	0.797	0.920	NaN	NaN	NaN	0.797	1.000
6848	SCAPER	S phase cyclin A-associated protein in the ER	1092396	1	1	1	0	0	0	0	0	1	0	0.797	1.000	NaN	NaN	NaN	0.797	1.000
6849	IQSEC1	IQ motif and Sec7 domain 1	800383	1	1	1	0	1	0	0	0	0	0	0.797	0.688	NaN	NaN	NaN	0.797	1.000
6850	POLA1	polymerase (DNA directed), alpha 1	1243368	1	1	1	1	1	0	0	0	0	0	0.797	0.910	NaN	NaN	NaN	0.797	1.000
6851	CCT8L2	chaperonin containing TCP1, subunit 8 (theta)-like 2	474865	2	2	2	2	2	0	0	0	0	0	0.435	0.872	0.800	0.420	1.000	0.797	1.000
6852	PLG	plasminogen	709293	2	2	2	3	0	1	1	0	0	0	1.000	0.959	0.973	0.158	0.436	0.798	1.000
6853	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide	858470	1	1	1	1	1	0	0	0	0	0	0.798	0.863	NaN	NaN	NaN	0.798	1.000
6854	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	979891	1	1	1	0	1	0	0	0	0	0	0.799	0.636	NaN	NaN	NaN	0.799	1.000
6855	PCDHGA4	protocadherin gamma subfamily A, 4	762185	2	2	2	1	2	0	0	0	0	0	0.437	0.684	0.697	0.759	1.000	0.799	1.000
6856	OBSL1	obscurin-like 1	1213810	1	1	1	0	0	0	1	0	0	0	0.799	0.775	NaN	NaN	NaN	0.799	1.000
6857	WRN	Werner syndrome	1249394	1	1	1	0	0	0	0	1	0	0	0.799	0.862	NaN	NaN	NaN	0.799	1.000
6858	AKNA	AT-hook transcription factor	1160607	1	1	1	1	1	0	0	0	0	0	0.799	0.887	NaN	NaN	NaN	0.799	1.000
6859	ATP2A3	ATPase, Ca++ transporting, ubiquitous	792838	2	2	2	1	1	0	0	1	0	0	0.439	0.850	0.835	0.405	1.000	0.800	1.000
6860	PKP4	plakophilin 4	1035888	1	1	1	0	1	0	0	0	0	0	0.801	0.702	NaN	NaN	NaN	0.801	1.000
6861	MPDZ	multiple PDZ domain protein	1589507	2	2	2	0	1	0	0	0	1	0	0.440	0.444	0.724	0.990	1.000	0.801	1.000
6862	CDH4	cadherin 4, type 1, R-cadherin (retinal)	755995	2	2	2	1	1	1	0	0	0	0	0.440	0.622	0.417	0.0785	1.000	0.802	1.000
6863	SGK223	[Not Available]	1165255	2	2	2	2	1	0	0	1	0	0	0.861	0.921	0.381	0.953	0.512	0.802	1.000
6864	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	1062447	1	1	1	0	1	0	0	0	0	0	0.802	0.814	NaN	NaN	NaN	0.802	1.000
6865	PITPNM3	PITPNM family member 3	809095	1	1	1	0	1	0	0	0	0	0	0.802	0.654	NaN	NaN	NaN	0.802	1.000
6866	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	1311570	1	1	1	1	0	0	0	1	0	0	0.803	0.969	NaN	NaN	NaN	0.803	1.000
6867	IFT140	intraflagellar transport 140 homolog (Chlamydomonas)	1196697	1	1	1	0	0	0	0	1	0	0	0.803	0.836	NaN	NaN	NaN	0.803	1.000
6868	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	1281696	2	2	2	0	1	0	0	1	0	0	0.443	0.607	0.909	0.914	1.000	0.804	1.000
6869	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	1396547	3	3	3	2	0	1	0	0	2	0	0.443	0.979	0.986	0.928	1.000	0.804	1.000
6870	THADA	thyroid adenoma associated	1520574	3	3	3	2	1	0	0	2	0	0	0.643	0.897	0.807	0.356	0.689	0.804	1.000
6871	INADL	InaD-like (Drosophila)	1576811	2	2	2	1	0	0	0	1	1	0	0.562	0.943	0.561	0.474	0.788	0.804	1.000
6872	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	856147	1	1	1	1	1	0	0	0	0	0	0.804	0.846	NaN	NaN	NaN	0.804	1.000
6873	ZNF292	zinc finger protein 292	2092412	3	3	3	0	0	0	1	2	0	0	0.444	0.443	0.925	0.842	1.000	0.805	1.000
6874	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	1264315	3	3	3	3	2	0	0	1	0	0	1.000	0.959	0.626	0.0940	0.445	0.805	1.000
6875	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	1001481	1	1	1	0	1	0	0	0	0	0	0.805	0.752	NaN	NaN	NaN	0.805	1.000
6876	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	2551750	2	2	2	0	1	0	0	1	0	0	0.948	0.570	0.840	0.175	0.470	0.805	1.000
6877	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	872799	1	1	1	0	1	0	0	0	0	0	0.806	0.621	NaN	NaN	NaN	0.806	1.000
6878	PCDHGA5	protocadherin gamma subfamily A, 5	801172	1	1	1	0	1	0	0	0	0	0	0.806	0.599	NaN	NaN	NaN	0.806	1.000
6879	PCNX	pecanex homolog (Drosophila)	2010411	3	3	3	0	1	0	0	1	1	0	0.448	0.546	0.643	0.847	1.000	0.808	1.000
6880	DOCK7	dedicator of cytokinesis 7	1807211	1	1	1	1	0	0	0	0	1	0	0.808	0.976	NaN	NaN	NaN	0.808	1.000
6881	CNTN4	contactin 4	896076	3	3	3	2	1	1	0	1	0	0	0.603	0.841	0.480	0.401	0.744	0.808	1.000
6882	SLITRK2	SLIT and NTRK-like family, member 2	719384	3	3	3	2	0	2	0	0	1	0	0.449	0.831	0.803	0.810	1.000	0.808	1.000
6883	PTCHD2	patched domain containing 2	1169170	1	1	1	1	0	0	0	1	0	0	0.809	0.931	NaN	NaN	NaN	0.809	1.000
6884	MAP2	microtubule-associated protein 2	1635905	1	1	1	0	0	0	0	1	0	0	0.809	0.832	NaN	NaN	NaN	0.809	1.000
6885	RIN3	Ras and Rab interactor 3	772792	2	2	2	1	2	0	0	0	0	0	0.462	0.675	0.414	0.847	0.976	0.810	1.000
6886	KDM5A	lysine (K)-specific demethylase 5A	1466201	2	2	2	1	0	1	0	0	1	0	0.451	0.831	0.381	0.774	1.000	0.810	1.000
6887	CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	2677574	5	5	5	0	4	0	0	1	0	0	0.676	0.196	0.511	0.438	0.668	0.811	1.000
6888	PARP12	poly (ADP-ribose) polymerase family, member 12	517330	2	2	2	2	1	0	0	1	0	0	0.517	0.901	0.497	0.758	0.874	0.811	1.000
6889	ZMYM4	zinc finger, MYM-type 4	1333781	1	1	1	0	0	0	0	1	0	0	0.811	0.852	NaN	NaN	NaN	0.811	1.000
6890	SMG1	smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	2635272	3	3	3	1	1	0	0	0	2	0	0.570	0.851	0.732	0.523	0.794	0.811	1.000
6891	HDAC4	histone deacetylase 4	905780	1	1	1	1	1	0	0	0	0	0	0.812	0.926	NaN	NaN	NaN	0.812	1.000
6892	NOS2	nitric oxide synthase 2, inducible	945986	1	1	1	1	1	0	0	0	0	0	0.812	0.865	NaN	NaN	NaN	0.812	1.000
6893	BAZ1B	bromodomain adjacent to zinc finger domain, 1B	1250011	1	1	1	0	0	0	0	1	0	0	0.812	0.859	NaN	NaN	NaN	0.812	1.000
6894	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	3908969	3	3	3	2	1	0	0	1	1	0	0.970	0.933	0.289	0.789	0.468	0.812	1.000
6895	WDR33	WD repeat domain 33	1214066	2	2	2	0	0	0	1	0	1	0	0.454	0.450	0.806	0.501	1.000	0.813	1.000
6896	NKTR	natural killer-tumor recognition sequence	1246999	1	1	1	1	0	0	0	0	1	0	0.813	1.000	NaN	NaN	NaN	0.813	1.000
6897	SCN2A	sodium channel, voltage-gated, type II, alpha subunit	1734992	1	1	1	0	1	0	0	0	0	0	0.813	0.727	NaN	NaN	NaN	0.813	1.000
6898	MRC2	mannose receptor, C type 2	1122015	1	1	1	1	1	0	0	0	0	0	0.813	0.882	NaN	NaN	NaN	0.813	1.000
6899	PRR12	proline rich 12	987776	2	2	2	0	1	1	0	0	0	0	0.556	0.382	0.677	0.384	0.818	0.813	1.000
6900	KCNH3	potassium voltage-gated channel, subfamily H (eag-related), member 3	892425	1	1	1	0	1	0	0	0	0	0	0.813	0.657	NaN	NaN	NaN	0.813	1.000
6901	MAST3	microtubule associated serine/threonine kinase 3	864334	2	2	2	0	1	0	0	1	0	0	0.455	0.547	0.941	0.266	1.000	0.814	1.000
6902	ZC3H12B	zinc finger CCCH-type containing 12B	684025	2	2	2	2	1	0	0	1	0	0	1.000	0.977	0.355	0.0825	0.455	0.814	1.000
6903	MYH14	myosin, heavy chain 14	1123586	3	3	3	0	3	0	0	0	0	0	0.456	0.462	0.956	0.899	1.000	0.814	1.000
6904	MAGEB6	melanoma antigen family B, 6	345565	2	2	2	2	2	0	0	0	0	0	1.000	0.881	0.396	0.230	0.456	0.814	1.000
6905	DSC1	desmocollin 1	785293	3	3	3	2	0	1	0	1	1	0	0.456	0.873	0.804	0.846	1.000	0.814	1.000
6906	DLGAP4	discs, large (Drosophila) homolog-associated protein 4	877337	2	2	2	1	1	1	0	0	0	0	0.456	0.692	0.504	0.284	1.000	0.814	1.000
6907	ACTN1	actinin, alpha 1	801313	2	2	2	1	1	0	0	1	0	0	0.456	0.776	0.460	0.261	1.000	0.814	1.000
6908	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	721025	1	1	1	0	1	0	0	0	0	0	0.815	0.672	NaN	NaN	NaN	0.815	1.000
6909	SPTB	spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)	1995349	2	2	2	1	2	0	0	0	0	0	0.874	0.698	0.783	0.151	0.523	0.815	1.000
6910	NCKAP5	NCK-associated protein 5	1570840	2	2	2	1	0	1	0	1	0	0	0.458	0.819	0.0524	0.703	1.000	0.816	1.000
6911	MYBPC3	myosin binding protein C, cardiac	829341	1	1	1	0	1	0	0	0	0	0	0.816	0.671	NaN	NaN	NaN	0.816	1.000
6912	ATAD2	ATPase family, AAA domain containing 2	1201747	2	2	2	0	0	1	1	0	0	0	0.459	0.450	0.609	0.655	1.000	0.816	1.000
6913	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2	1073378	2	2	2	0	1	1	0	0	0	0	0.473	0.421	0.278	0.0979	0.971	0.817	1.000
6914	NLRX1	NLR family member X1	883837	2	2	2	1	1	1	0	0	0	0	0.460	0.774	0.890	0.376	1.000	0.817	1.000
6915	SEMA5B	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	849729	1	1	1	0	1	0	0	0	0	0	0.818	0.672	NaN	NaN	NaN	0.818	1.000
6916	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	1144187	2	2	2	0	1	0	0	1	0	0	0.493	0.609	0.699	0.560	0.940	0.820	1.000
6917	TRPC7	transient receptor potential cation channel, subfamily C, member 7	700065	4	4	4	3	4	0	0	0	0	0	0.728	0.718	0.539	0.471	0.637	0.820	1.000
6918	FGD5	FYVE, RhoGEF and PH domain containing 5	960368	7	7	7	6	4	0	1	1	1	0	0.600	0.948	0.597	0.851	0.774	0.821	1.000
6919	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	1368081	1	1	1	1	0	0	0	1	0	0	0.821	0.933	NaN	NaN	NaN	0.821	1.000
6920	FYCO1	FYVE and coiled-coil domain containing 1	1274905	1	1	1	0	1	0	0	0	0	0	0.823	0.730	NaN	NaN	NaN	0.823	1.000
6921	PCDHGA11	protocadherin gamma subfamily A, 11	816230	2	2	2	0	2	0	0	0	0	0	0.513	0.378	0.284	0.989	0.914	0.824	1.000
6922	RPAP1	RNA polymerase II associated protein 1	1193714	1	1	1	1	1	0	0	0	0	0	0.824	0.932	NaN	NaN	NaN	0.824	1.000
6923	CRB1	crumbs homolog 1 (Drosophila)	1207099	2	2	2	0	0	1	0	1	0	0	0.469	0.569	0.901	0.740	1.000	0.824	1.000
6924	TUBGCP6	tubulin, gamma complex associated protein 6	1427242	1	1	1	0	0	1	0	0	0	0	0.825	0.571	NaN	NaN	NaN	0.825	1.000
6925	AHDC1	AT hook, DNA binding motif, containing 1	1240577	1	1	1	0	0	0	0	1	0	0	0.826	0.785	NaN	NaN	NaN	0.826	1.000
6926	HYDIN	hydrocephalus inducing homolog (mouse)	3301345	7	6	7	2	5	1	0	1	0	0	0.583	0.389	0.560	0.828	0.808	0.826	1.000
6927	CASC5	cancer susceptibility candidate 5	1978706	1	1	1	0	0	0	0	1	0	0	0.826	0.865	NaN	NaN	NaN	0.826	1.000
6928	AUTS2	autism susceptibility candidate 2	1002877	1	1	1	0	1	0	0	0	0	0	0.826	0.653	NaN	NaN	NaN	0.826	1.000
6929	ADCY8	adenylate cyclase 8 (brain)	984285	2	2	2	0	1	0	0	1	0	0	0.472	0.565	0.495	0.441	1.000	0.826	1.000
6930	CEP250	centrosomal protein 250kDa	1982028	3	3	3	0	1	0	0	1	1	0	0.492	0.713	0.660	0.904	0.959	0.827	1.000
6931	JMJD1C	jumonji domain containing 1C	2166298	2	2	2	1	0	0	0	1	1	0	0.768	0.963	0.130	0.795	0.616	0.827	1.000
6932	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	1380287	1	1	1	0	0	0	0	0	1	0	0.828	0.516	NaN	NaN	NaN	0.828	1.000
6933	PCDHGA12	protocadherin gamma subfamily A, 12	807115	2	2	2	1	2	0	0	0	0	0	0.498	0.633	0.293	0.671	0.954	0.829	1.000
6934	ADCY7	adenylate cyclase 7	843998	1	1	1	0	0	0	0	1	0	0	0.829	0.819	NaN	NaN	NaN	0.829	1.000
6935	SLC45A4	solute carrier family 45, member 4	671153	2	2	2	1	2	0	0	0	0	0	0.476	0.655	0.727	0.0599	1.000	0.830	1.000
6936	CNOT2	CCR4-NOT transcription complex, subunit 2	474669	2	1	2	0	0	0	0	2	0	0	0.477	0.717	0.111	0.632	1.000	0.830	1.000
6937	PSD4	pleckstrin and Sec7 domain containing 4	869116	3	3	3	2	2	0	0	0	1	0	0.478	0.779	0.758	0.768	1.000	0.831	1.000
6938	MYO9A	myosin IXA	2197505	1	1	1	0	0	0	1	0	0	0	0.831	0.648	NaN	NaN	NaN	0.831	1.000
6939	ZFYVE26	zinc finger, FYVE domain containing 26	2197279	3	3	3	0	1	1	0	0	1	0	0.555	0.272	0.452	0.863	0.862	0.831	1.000
6940	KIAA0556	KIAA0556	1367501	1	1	1	0	1	0	0	0	0	0	0.832	0.640	NaN	NaN	NaN	0.832	1.000
6941	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	1472729	2	2	2	1	0	0	0	2	0	0	0.586	0.908	0.577	0.328	0.820	0.832	1.000
6942	TLL1	tolloid-like 1	881657	3	3	3	2	1	1	0	0	1	0	0.482	0.830	0.504	0.669	1.000	0.834	1.000
6943	PASK	PAS domain containing serine/threonine kinase	1143095	1	1	1	1	1	0	0	0	0	0	0.834	0.841	NaN	NaN	NaN	0.834	1.000
6944	ENGASE	endo-beta-N-acetylglucosaminidase	604744	2	2	2	2	0	0	1	0	1	0	0.483	0.934	0.940	0.705	1.000	0.834	1.000
6945	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	889409	2	2	2	1	1	1	0	0	0	0	0.483	0.747	0.706	0.287	1.000	0.834	1.000
6946	MADD	MAP-kinase activating death domain	1438666	1	1	1	1	1	0	0	0	0	0	0.835	0.904	NaN	NaN	NaN	0.835	1.000
6947	NCOR2	nuclear receptor co-repressor 2	1705021	2	2	2	0	0	0	0	0	2	0	0.780	0.566	0.318	0.429	0.620	0.835	1.000
6948	NUP188	nucleoporin 188kDa	1525011	1	1	1	0	0	0	0	1	0	0	0.835	0.829	NaN	NaN	NaN	0.835	1.000
6949	CCDC88C	coiled-coil domain containing 88C	1395902	2	2	2	0	2	0	0	0	0	0	0.738	0.443	0.320	0.483	0.657	0.836	1.000
6950	PHF3	PHD finger protein 3	1746943	1	1	1	1	0	0	0	1	0	0	0.836	0.944	NaN	NaN	NaN	0.836	1.000
6951	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	916657	5	5	5	4	3	0	0	2	0	0	1.000	0.880	0.281	0.591	0.485	0.836	1.000
6952	DOCK4	dedicator of cytokinesis 4	1531165	2	2	2	0	0	0	0	1	1	0	0.533	0.523	0.750	0.775	0.911	0.837	1.000
6953	COL5A3	collagen, type V, alpha 3	1433804	1	1	1	0	0	0	0	1	0	0	0.837	0.779	NaN	NaN	NaN	0.837	1.000
6954	AKAP11	A kinase (PRKA) anchor protein 11	1624358	1	1	1	0	0	0	1	0	0	0	0.839	0.612	NaN	NaN	NaN	0.839	1.000
6955	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	1389954	1	1	1	0	0	0	0	1	0	0	0.839	0.850	NaN	NaN	NaN	0.839	1.000
6956	DSG1	desmoglein 1	907077	2	2	2	2	1	0	0	0	1	0	0.490	0.891	0.273	0.797	1.000	0.839	1.000
6957	ZCCHC11	zinc finger, CCHC domain containing 11	1421209	1	1	1	0	0	0	0	1	0	0	0.839	0.855	NaN	NaN	NaN	0.839	1.000
6958	BRCA2	breast cancer 2, early onset	2917392	4	4	4	1	1	0	1	2	0	0	0.490	0.572	0.815	0.572	1.000	0.840	1.000
6959	FAM65A	family with sequence similarity 65, member A	1030625	1	1	1	1	1	0	0	0	0	0	0.841	0.944	NaN	NaN	NaN	0.841	1.000
6960	LLGL1	lethal giant larvae homolog 1 (Drosophila)	857500	2	2	2	0	1	0	0	1	0	0	0.492	0.542	0.570	0.417	1.000	0.841	1.000
6961	SPG11	spastic paraplegia 11 (autosomal recessive)	2074676	2	2	2	0	0	0	1	0	1	0	0.653	0.491	0.358	0.666	0.755	0.842	1.000
6962	NLRC5	NLR family, CARD domain containing 5	1599127	1	1	1	1	1	0	0	0	0	0	0.842	0.891	NaN	NaN	NaN	0.842	1.000
6963	KDM5B	lysine (K)-specific demethylase 5B	1339793	2	2	2	0	0	0	0	1	1	0	0.494	0.845	0.180	0.0510	1.000	0.842	1.000
6964	PCDHGA3	protocadherin gamma subfamily A, 3	814548	2	2	2	1	1	0	0	1	0	0	0.495	0.743	0.750	0.636	1.000	0.843	1.000
6965	SCN8A	sodium channel, voltage gated, type VIII, alpha subunit	1659902	1	1	1	1	0	1	0	0	0	0	0.843	0.877	NaN	NaN	NaN	0.843	1.000
6966	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	942570	1	1	1	1	1	0	0	0	0	0	0.844	0.898	NaN	NaN	NaN	0.844	1.000
6967	ALMS1	Alstrom syndrome 1	3475096	3	2	3	2	0	0	1	2	0	0	0.960	0.899	0.367	0.764	0.517	0.844	1.000
6968	IGSF10	immunoglobulin superfamily, member 10	2234540	1	1	1	0	1	0	0	0	0	0	0.846	0.700	NaN	NaN	NaN	0.846	1.000
6969	PDCD11	programmed cell death 11	1591334	2	2	2	0	0	0	2	0	0	0	0.499	0.548	0.882	0.657	1.000	0.846	1.000
6970	KIDINS220	kinase D-interacting substrate, 220kDa	1536992	1	1	1	1	0	0	1	0	0	0	0.847	0.878	NaN	NaN	NaN	0.847	1.000
6971	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12	1381224	5	5	5	4	2	1	1	0	1	0	0.736	0.865	0.439	0.845	0.680	0.847	1.000
6972	QSER1	glutamine and serine rich 1	1485759	2	2	2	1	1	0	0	1	0	0	0.501	0.876	0.722	0.863	1.000	0.847	1.000
